trial_id,family,params,cv_accuracy,cv_f1_macro,cv_precision_macro,cv_recall_macro,holdout_accuracy,holdout_f1_macro,holdout_precision_macro,holdout_recall_macro,holdout_fully_evasive_f1
svm_0007,svm,"{""C"": 0.25, ""calibration"": ""sigmoid"", ""calibration_cv"": 3, ""class_weight"": {""direct"": 1.0, ""fully_evasive"": 1.4, ""intermediate"": 1.1}, ""dual"": ""auto"", ""loss"": ""squared_hinge"", ""max_features"": 12000, ""max_iter"": 12000, ""min_df"": 1, ""ngram_range"": [1, 2]}",0.6389387144992527,0.5023755005715348,0.681494134522742,0.477942928757422,0.64584578601315,0.503867175572755,0.7217359736751684,0.480165230748681,0.2127659574468085
svm_0008,svm,"{""C"": 0.25, ""calibration"": ""sigmoid"", ""calibration_cv"": 3, ""class_weight"": {""direct"": 1.0, ""fully_evasive"": 1.6, ""intermediate"": 1.1}, ""dual"": ""auto"", ""loss"": ""squared_hinge"", ""max_features"": 12000, ""max_iter"": 12000, ""min_df"": 1, ""ngram_range"": [1, 2]}",0.638863976083707,0.5013199901945583,0.6810865026145693,0.4772654219823543,0.64584578601315,0.503867175572755,0.7217359736751684,0.480165230748681,0.2127659574468085
svm_0005,svm,"{""C"": 0.25, ""calibration"": ""sigmoid"", ""calibration_cv"": 3, ""class_weight"": null, ""dual"": ""auto"", ""loss"": ""squared_hinge"", ""max_features"": 12000, ""max_iter"": 12000, ""min_df"": 1, ""ngram_range"": [1, 2]}",0.6385650224215247,0.5029740278846492,0.6787766808576438,0.4782897096046515,0.64584578601315,0.5038223375184471,0.7217034503500551,0.48012925766379483,0.2127659574468085
svm_0015,svm,"{""C"": 0.25, ""calibration"": ""sigmoid"", ""calibration_cv"": 3, ""class_weight"": {""direct"": 1.0, ""fully_evasive"": 1.4, ""intermediate"": 1.1}, ""dual"": ""auto"", ""loss"": ""squared_hinge"", ""max_features"": 12000, ""max_iter"": 12000, ""min_df"": 2, ""ngram_range"": [1, 2]}",0.6391629297458894,0.503514787118545,0.6819806523865896,0.47871574493410035,0.6452480573819486,0.5034534883413936,0.7213241715677906,0.4797483052828424,0.2127659574468085
svm_0016,svm,"{""C"": 0.25, ""calibration"": ""sigmoid"", ""calibration_cv"": 3, ""class_weight"": {""direct"": 1.0, ""fully_evasive"": 1.6, ""intermediate"": 1.1}, ""dual"": ""auto"", ""loss"": ""squared_hinge"", ""max_features"": 12000, ""max_iter"": 12000, ""min_df"": 2, ""ngram_range"": [1, 2]}",0.6390881913303438,0.5024720383953649,0.6816109790477346,0.4780382381590325,0.6452480573819486,0.5034534883413936,0.7213241715677906,0.4797483052828424,0.2127659574468085
svm_0021,svm,"{""C"": 0.25, ""calibration"": ""sigmoid"", ""calibration_cv"": 3, ""class_weight"": null, ""dual"": ""auto"", ""loss"": ""squared_hinge"", ""max_features"": 12000, ""max_iter"": 12000, ""min_df"": 3, ""ngram_range"": [1, 2]}",0.6386397608370703,0.50305340888444,0.6794256956855477,0.47837820017426225,0.6449491930663479,0.5032948432574208,0.7210791715249162,0.4795938021772524,0.2127659574468085
svm_0023,svm,"{""C"": 0.25, ""calibration"": ""sigmoid"", ""calibration_cv"": 3, ""class_weight"": {""direct"": 1.0, ""fully_evasive"": 1.4, ""intermediate"": 1.1}, ""dual"": ""auto"", ""loss"": ""squared_hinge"", ""max_features"": 12000, ""max_iter"": 12000, ""min_df"": 3, ""ngram_range"": [1, 2]}",0.6389387144992527,0.5024112112499937,0.6814905811423411,0.4779699170193001,0.6446503287507471,0.5030845264478248,0.7209448701694532,0.4793673529018901,0.2127659574468085
svm_0024,svm,"{""C"": 0.25, ""calibration"": ""sigmoid"", ""calibration_cv"": 3, ""class_weight"": {""direct"": 1.0, ""fully_evasive"": 1.6, ""intermediate"": 1.1}, ""dual"": ""auto"", ""loss"": ""squared_hinge"", ""max_features"": 12000, ""max_iter"": 12000, ""min_df"": 3, ""ngram_range"": [1, 2]}",0.638863976083707,0.5013557036882735,0.681082997461357,0.47729241024423236,0.6446503287507471,0.5030845264478248,0.7209448701694532,0.4793673529018901,0.2127659574468085
svm_0013,svm,"{""C"": 0.25, ""calibration"": ""sigmoid"", ""calibration_cv"": 3, ""class_weight"": null, ""dual"": ""auto"", ""loss"": ""squared_hinge"", ""max_features"": 12000, ""max_iter"": 12000, ""min_df"": 2, ""ngram_range"": [1, 2]}",0.6389387144992527,0.5022097357383208,0.6787150562460336,0.4778979579374563,0.6443514644351465,0.5027692464540787,0.720675149402072,0.4790689574567555,0.2127659574468085
svm_0009,svm,"{""C"": 0.25, ""calibration"": ""sigmoid"", ""calibration_cv"": 3, ""class_weight"": null, ""dual"": ""auto"", ""loss"": ""squared_hinge"", ""max_features"": 8000, ""max_iter"": 12000, ""min_df"": 2, ""ngram_range"": [1, 2]}",0.6371449925261584,0.5012185891432989,0.6789263905519681,0.47677693961724127,0.6401673640167364,0.49994054015425643,0.7179316101059728,0.476186452280772,0.2127659574468085
